,log_dir,frame_per_second,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,crash_sidewalk_rate,crash_vehicle_rate,idle_rate,speed_km_h,max_step_rate,success_rate,episode_reward,episode_length
0,/Users/belle/Desktop/F23-CS260R/train_ppo_in_single_agent_env/ppo,1574,-0.0011913013208705264,0.8578360717266034,461.4201054108448,230.70886101844982,472.71592788207226,3.803283929824829,0.9999133459268472,40000,22,0,25.41131591796875,0.004633333333333333,0.0,0.0,55.78332245962761,0.0,0.9090909090909091,1918.852796814709,1349.090909090909
1,/Users/belle/Desktop/F23-CS260R/train_ppo_in_single_agent_env/ppo,1654,-0.00028079968850271635,0.8114859717014509,4084.98158700405,2042.4905113318027,1967.248964788975,-3.919191360473633,1.00005156065409,80000,52,1,48.35550403594971,0.0166,0.0,3.3333333333333335e-05,57.03354631094277,0.0,0.9230769230769231,1709.1664615707534,1344.0
2,/Users/belle/Desktop/F23-CS260R/train_ppo_in_single_agent_env/ppo,1693,-0.0010467636249720668,0.7892154729519135,563.7905619890262,281.8942340361766,586.0592518146221,3.43896222114563,0.9994082690049441,120000,83,2,70.8643889427185,0.004866666666666667,0.0,0.0,57.22221997981284,0.0,0.9156626506024096,1691.9841019617102,1336.0722891566265
3,/Users/belle/Desktop/F23-CS260R/train_ppo_in_single_agent_env/ppo,1697,-0.0005074582936895939,0.7791538739051574,4143.258286754902,2071.6286305158565,2403.9780575874524,-5.175074577331543,1.0004182543892126,160000,117,3,94.23597002029419,0.0107,0.0,3.3333333333333335e-05,57.99164326165656,0.0,0.92,1491.1874369556033,1318.93
4,/Users/belle/Desktop/F23-CS260R/train_ppo_in_single_agent_env/ppo,1705,-0.0008186474099206046,0.7936337949373783,7351.906237714718,3675.9522974650067,4183.5504216512045,-11.766244888305664,1.0001837453016869,200000,146,4,117.29974699020386,0.0205,0.0,6.666666666666667e-05,57.518184197061274,0.0,0.92,1165.2086194478306,1312.28
5,/Users/belle/Desktop/F23-CS260R/train_ppo_in_single_agent_env/ppo,1710,-0.001104317372217058,0.7184227871207091,3928.929026598808,1964.4634117126466,2524.7494423890726,-1.281463861465454,1.0001668436787068,240000,177,5,140.30324912071228,0.0147,0.0,3.3333333333333335e-05,57.757729201867555,0.0,0.9,1079.3572366731316,1304.33
6,/Users/belle/Desktop/F23-CS260R/train_ppo_in_single_agent_env/ppo,1712,0.00024409013104816088,0.689741474084365,3871.2203631670045,1935.61042482425,2730.5104011926896,-1.424484372138977,1.0001838139616526,280000,208,6,163.53002786636353,0.0148,0.0,3.3333333333333335e-05,58.26295013253367,0.0,0.91,1157.3136006807463,1306.22
7,/Users/belle/Desktop/F23-CS260R/train_ppo_in_single_agent_env/ppo,1717,-0.0013969959074016422,0.5975776722797981,1503.4283708621294,751.7127893203344,1334.7025360987736,3.895764112472534,0.9999278289003249,320000,238,7,186.31208395957947,0.005666666666666667,0.0,0.0,59.973656529473125,0.0,0.93,1529.4827647683417,1295.04
8,/Users/belle/Desktop/F23-CS260R/train_ppo_in_single_agent_env/ppo,1720,-0.00032977555588914605,0.5491164447596439,1963.7842476282365,981.8917919158936,1623.6179962304923,2.066826105117798,1.000207697160733,360000,271,8,209.1893548965454,0.004333333333333333,0.0,0.0,61.24332667299599,0.0,0.95,1566.8592235068793,1284.0
9,/Users/belle/Desktop/F23-CS260R/train_ppo_in_single_agent_env/ppo,1727,-0.00021070206876641187,0.562057724652382,4365.097812163524,2182.54869333903,3326.464230464055,-5.517814636230469,0.9998775927302165,400000,303,9,231.60241293907166,0.023233333333333335,0.0,3.3333333333333335e-05,59.29648812081865,0.0,0.93,1435.403585571246,1273.87
10,/Users/belle/Desktop/F23-CS260R/train_ppo_in_single_agent_env/ppo,1728,-0.0010232359572397306,0.5031970478976384,3453.5851526504907,1726.7915492620223,2457.2247011037975,0.5610153079032898,0.9996757624623103,440000,335,10,254.52055382728577,0.010033333333333333,0.0,3.3333333333333335e-05,60.181566185699324,0.0,0.9,1479.0581253447328,1256.17
11,/Users/belle/Desktop/F23-CS260R/train_ppo_in_single_agent_env/ppo,1732,-0.0007283731862583246,0.48869935570236966,2799.7697609339007,1399.8841481624506,2016.2231519748002,1.9768726825714111,1.0001397114533646,480000,367,11,276.98516297340393,0.006333333333333333,0.0,0.0,61.12529216208581,0.0,0.89,1459.7490792263986,1243.86
12,/Users/belle/Desktop/F23-CS260R/train_ppo_in_single_agent_env/ppo,1738,-0.00021490299453337988,0.47086116830125835,3129.685348530305,1564.8424633319562,2438.0797317504885,-2.5225143432617188,1.0001127946071136,520000,400,12,299.10912895202637,0.0084,0.0,3.3333333333333335e-05,61.997091009992516,0.0,0.9,1633.1617942575615,1235.41
13,/Users/belle/Desktop/F23-CS260R/train_ppo_in_single_agent_env/ppo,1742,-7.021768206658845e-05,0.46837866073235485,3921.1607360839844,1960.5802969614665,3353.788140693078,-4.506044387817383,0.9999710490688299,560000,431,13,321.3988039493561,0.0192,0.0,3.3333333333333335e-05,61.029781225394196,0.0,0.91,1513.64663747071,1231.12
14,/Users/belle/Desktop/F23-CS260R/train_ppo_in_single_agent_env/ppo,1739,-0.0003139879141086474,0.4736656897725203,3252.390317163712,1626.1948389689128,2402.8413126334167,1.9916964769363403,1.0005014956761629,600000,463,14,344.9536077976227,0.0051,0.0,0.0,61.548105745066934,0.0,0.92,1515.6804530505647,1244.38
